filename,true_category,true_label,predicted_label,correct,windows_flagged,manipulation_type,region_start,region_end,exact_boundary_start,exact_boundary_end,position,confidence
rasa_Assamese_Male_001.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_001.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_002.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_003.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_004.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_005.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_006.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_007.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_008.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_009.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_010.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_011.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_012.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_013.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_014.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_015.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_016.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_017.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_018.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_019.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_020.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_021.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_022.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_023.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_024.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_025.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_026.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_027.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_028.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_029.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_030.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_031.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_032.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_033.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_034.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_035.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_036.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_037.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_038.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_039.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_040.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_041.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_042.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_043.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_044.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_045.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_046.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_047.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_048.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_049.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_050.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_051.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_052.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_053.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_054.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_055.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_056.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_057.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_058.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_059.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_060.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_061.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_062.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_063.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_064.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_065.wav,genuine,0,0,1,0,,,,,,,
rasa_Hindi_Male_066.wav,genuine,0,0,1,0,,,,,,,
